사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-19,2호선,208,왕십리(성동구청),759,3,8514,1129,12177,7219,29953,13697,53189,31826,33622,23253,24111,17818,24739,18810,28441,20989,30733,23629,29498,23227,31254,24763,39395,29720,43689,37164,47751,61010,32644,44529,30397,28119,33599,25221,34501,25770,22114,18511,3720,7129,0,14,0,1,0,0
Jun-19,2호선,209,한양대,11,1,1758,461,2946,6864,5861,16836,9712,61248,8330,56058,8859,42210,12810,21057,19013,31260,17557,25347,21623,21963,27516,15611,38293,13769,41582,15531,35668,20195,20136,12565,17730,7482,20228,6925,18231,6740,11344,4925,2362,1607,0,0,0,0,0,0
Jun-19,2호선,210,뚝섬,24,0,4972,2034,9535,15703,23990,30096,32838,120472,22237,60189,18119,29652,18934,25117,21896,27214,25685,30026,27233,27963,30117,28950,36466,30304,48823,32601,103324,42421,51970,30509,32046,18363,28352,16063,19377,16338,8551,11102,1273,3664,2,49,1,0,0,0
Jun-19,2호선,211,성수,32,0,6401,4003,11259,29007,26914,63676,33866,244701,28662,96326,24354,40558,25335,35353,29020,35285,34286,39614,37027,38090,41979,38027,50168,38209,80616,41969,183320,50468,82187,36566,47154,22359,44422,19233,34244,17850,15091,13764,2118,7645,7,1185,0,0,0,0
Jun-19,2호선,212,건대입구,505,11,23118,2337,27236,18853,60714,27838,103783,70886,71543,54245,46867,53829,44277,58721,52351,70672,60568,78736,63060,78651,67098,82574,75152,94302,86637,124046,101158,184868,80946,144780,84130,88538,96926,78964,102353,71817,65568,46130,10322,15678,6,1283,0,0,0,0
Jun-19,2호선,213,구의(광진구청),34,1,14488,1522,27590,11063,69353,15415,118292,39431,70464,26193,39185,21937,33888,21752,34606,23861,35801,27353,31806,29533,30254,36262,33686,41100,36779,54315,44343,86231,26399,70606,21338,48667,19965,47713,17085,47270,10462,28393,1619,9274,3,53,0,0,0,0
Jun-19,2호선,214,강변(동서울터미널),37,1,9982,4207,30376,33749,94284,38342,137375,63700,106167,60537,88854,52567,81819,54027,79231,59770,77086,69686,70672,75461,69737,86190,75515,96633,81809,107305,92894,144219,73794,114372,60039,81247,58157,71346,40193,66689,15402,37743,2150,9339,1,7,0,0,0,0
Jun-19,2호선,215,잠실나루,12,0,3461,1930,12659,10588,41576,23317,53551,41374,33286,30369,27185,22878,27334,20525,27110,24265,25556,25879,26565,24956,28080,24098,32000,24715,37682,29389,36993,42882,20763,35037,16811,22629,13123,21778,8543,21845,4075,13797,548,4219,1,1,0,0,0,0
Jun-19,2호선,216,잠실(송파구청),94,2,14114,6388,50211,42620,122898,87594,179050,184245,131462,171690,95384,124285,96277,134570,107130,127557,118642,134155,126509,130640,142291,140605,165160,150852,202830,169611,260947,234127,182415,175673,178076,110630,152809,102448,123291,100088,42722,60833,5189,14027,1,2,1,1,0,0
Jun-19,2호선,217,잠실새내,44,2,6543,1085,18779,8207,61701,17690,85022,29879,53357,32954,37118,27021,35840,28717,38486,32704,37743,38160,34144,41884,35433,45691,40985,52260,41438,64269,47132,92977,35015,73602,32179,46321,34633,40090,35533,39831,21511,22536,3431,7652,1,4,0,0,0,0
Jun-19,2호선,218,종합운동장,4,0,2395,1279,7154,10456,18934,22408,27610,34219,20029,20822,14431,15423,14921,13973,15091,17398,16215,22224,17161,24109,19310,35653,25712,67298,26482,52891,26652,66442,26648,31063,57168,15044,56818,14174,34609,14387,8108,8645,492,2872,2,85,0,1,0,0
Jun-19,2호선,219,삼성(무역센터),171,2,5356,5692,9165,43708,19227,125709,25932,333111,26643,255248,28543,128582,41880,112829,55453,100578,74427,110534,90807,97816,115330,83564,135345,78545,197616,73812,308598,81247,192382,51277,145328,26935,121466,20987,89665,19140,26839,10323,3818,6158,0,2007,0,0,0,0
Jun-19,2호선,220,선릉,103,7,6013,6058,12671,41693,23439,106230,36882,292092,37482,214717,39984,95654,52493,68707,63274,64048,74834,73005,80808,62575,98313,55903,136256,53877,163130,59175,284608,65083,147604,45033,95502,27465,96523,23779,82066,21791,32165,13856,4920,5935,1,31,0,0,0,0
Jun-19,2호선,221,역삼,45,2,4842,7439,9590,37826,17053,119385,28723,337702,27078,258494,28270,107489,37343,72073,47056,60496,58586,73464,63320,61716,81151,54286,93662,51269,158561,54628,274101,64107,137662,46256,85095,27130,85827,22254,63805,18903,26710,13041,4316,4170,0,2,0,0,0,0
Jun-19,2호선,222,강남,292,14,18092,12476,26646,56625,46932,167649,72773,339695,64752,345090,65438,179960,86403,151649,110775,153102,143647,180476,148202,156861,176671,151144,200331,155541,252487,186160,375251,253308,244856,187731,204684,94481,247405,75503,270425,62699,121471,43964,20754,11756,1,5,0,0,0,0
Jun-19,2호선,223,교대(법원.검찰청),23,1,3153,7602,14140,28948,29132,67120,41747,156645,36142,140599,33981,74960,41335,68980,44467,65090,55715,68772,62940,63376,66919,57962,68440,59259,93968,70021,152533,90873,78898,58763,63493,34190,73168,30491,66491,28694,24847,16688,4815,4602,2,2,0,0,0,0
Jun-19,2호선,224,서초,16,0,1498,5179,7502,21334,15766,52754,24795,126727,28184,104554,21998,49886,32694,41450,33647,31926,42803,32722,40555,33484,44051,26190,54810,27204,67335,28420,108435,32988,52401,23300,34279,12828,40124,11580,27025,11307,8638,7256,1253,1982,0,0,0,0,0,0
Jun-19,2호선,225,방배,30,1,3583,3715,10986,13647,27596,29341,38133,76546,30683,58074,23796,37399,25567,29258,27642,30500,31862,30052,32389,30062,37404,27493,42722,30062,50306,35561,74825,44300,36004,34468,27315,22830,28055,22345,22861,24323,10260,13907,1949,4754,0,0,0,0,0,0
Jun-19,2호선,226,사당,89,4,15183,4234,27576,35219,78343,54380,107588,80939,80834,63934,54622,50692,50651,62758,60295,62556,68104,60693,72085,60671,68936,70229,71016,90887,85834,122398,103851,179281,77975,134943,76381,81261,83442,77751,80944,77838,46888,51852,7960,17372,5,920,0,0,0,0
Jun-19,2호선,227,낙성대,102,1,12788,2543,27933,11948,85939,22936,131036,45217,86983,38827,48948,31823,42289,27017,45235,31409,47011,34442,40729,34938,43617,40704,45904,46478,50266,59375,58286,95944,35478,91867,27656,61072,27083,60049,22513,63295,12283,43972,1966,12797,0,57,0,0,0,0
Jun-19,2호선,228,서울대입구(관악구청),3980,31,31834,3333,47838,19083,133883,34507,190704,74760,130066,72588,80152,60613,72404,54661,78241,60594,81822,70362,75741,70134,80128,76785,88349,87731,97026,110175,106876,170015,69425,157226,59367,102075,58950,100087,55238,102181,30065,67864,4793,25645,0,4911,1,1,0,0
Jun-19,2호선,229,봉천,128,5,17912,2421,30116,11162,81669,16244,119588,28839,76044,25857,44163,23952,36885,24994,40285,26093,40422,29638,34867,31887,34260,38503,38064,44248,38083,55384,39171,82317,24985,73195,20340,47806,18749,47609,13876,47837,6210,30752,973,8896,1,134,0,0,0,0
Jun-19,2호선,230,신림,412,21,46313,5850,84032,24628,224449,39320,327963,67057,205984,60632,117760,55815,98819,61163,104705,67723,101946,76594,91560,84576,89432,99306,96330,118083,104137,153976,107762,255809,77111,246033,67178,161302,62713,157418,57270,161304,33400,110419,5144,33530,1,77,0,1,0,0
Jun-19,2호선,231,신대방,176,9,28512,2670,38336,11929,96967,20371,134940,37800,91853,27085,53604,23273,43852,23437,43447,25309,42111,29996,36505,33077,34740,43629,37977,50237,41246,66820,49315,94352,30834,86621,23700,61034,19052,65118,14332,72072,7073,43010,1310,11990,0,84,0,0,0,0
Jun-19,2호선,232,구로디지털단지,235,9,46191,6646,57004,23676,146778,74727,192421,254832,130728,156804,83365,66235,73232,56857,78826,56846,81097,71208,71954,74489,74999,79434,88893,88744,125212,121329,230318,174765,126751,149692,83158,100849,71302,103242,56671,108277,28840,67476,4490,18794,0,142,0,0,0,0
Jun-19,2호선,233,대림(구로구청),574,26,41478,4207,34642,13585,75739,25505,105461,65646,78552,45192,50731,40020,41726,41105,44794,39016,44949,41947,40617,41581,41057,47978,45345,54498,52486,75703,68188,87221,39419,68401,30290,50286,25352,62404,18541,63626,9547,33421,1259,8565,1,173,0,0,0,0
Jun-19,2호선,234,신도림,3199,15,42279,6184,55369,24718,143058,45493,152409,126227,101829,86952,73852,83032,74370,81275,84372,86717,92238,89455,90829,84880,94719,91173,100823,102003,115868,127125,154759,188199,98078,152769,86058,92604,87133,87056,68800,91265,32456,69097,3461,30804,6,3844,0,1,0,0
Jun-19,2호선,235,문래,21,0,4093,2590,12772,12714,43962,31475,47487,108365,28615,55536,23008,25312,22602,22689,26052,24536,27089,25444,26987,24465,28633,24528,32589,26742,46887,31340,91325,49376,39065,39931,25252,24118,25547,22388,20265,20760,9529,13892,1370,4591,0,55,0,0,0,0
Jun-19,2호선,236,영등포구청,72,1,6242,3132,14414,14296,43004,33613,49340,115713,33256,54725,26562,27736,27486,26297,28978,26666,31537,29811,30963,28048,32574,28607,36787,30792,49049,36823,98403,54928,39178,41906,29235,25788,27675,24553,23147,23482,10019,16195,1539,6028,0,52,0,0,0,0
Jun-19,2호선,237,당산,63,1,7723,5372,21298,17344,54174,32347,70767,84303,47749,42344,34541,23651,32115,24129,31376,25565,31565,28777,28128,28834,29015,32137,34001,38534,48978,50510,69894,78200,37078,60663,27981,41687,26506,41582,24069,41542,12450,26595,1801,6951,3,77,0,0,0,0
Jun-19,2호선,238,합정,116,5,11554,3786,20226,21114,46492,36267,59194,97748,41509,76715,32718,51897,34242,49347,39176,54020,44229,61391,45798,57454,49787,57642,58589,64948,74703,79928,114401,114092,75727,90101,62925,49961,74648,41494,73449,37316,41127,26257,6256,8868,2,65,0,0,0,0
Jun-19,2호선,239,홍대입구,1806,12,44030,5584,40374,21144,71759,41126,91653,112284,75432,127280,71586,109357,78088,126350,90555,155832,101819,179602,110719,174696,129128,176429,152480,189955,177190,216353,210747,264396,171702,219486,173031,137261,210948,112445,234750,93949,133689,72675,15733,25837,6,2963,1,0,0,0
Jun-19,2호선,240,신촌,133,6,12267,3846,17309,18805,37842,42491,56841,94218,44641,114578,45059,84514,53822,80705,68055,86038,77260,96877,78490,86623,87342,81074,100310,84683,116816,101194,119194,136204,91053,106612,95137,60014,104283,50843,110520,44385,58325,33840,8930,10487,1,61,0,0,0,0
Jun-19,2호선,241,이대,45,0,3673,2303,7169,14697,17676,19150,26184,44989,19388,55694,17479,52647,23086,40325,35068,45411,39786,45379,36766,36834,43941,36843,53496,35626,61700,37506,52320,42925,38103,32693,33631,20207,34048,18449,27187,18220,10297,14313,1211,4364,0,13,0,0,0,0
Jun-19,2호선,242,아현,36,0,5129,1289,10370,9637,27155,13549,38287,23116,24404,13837,18889,13399,17954,10532,18508,12514,18145,14445,16632,14948,17949,16129,24348,18396,22911,23135,22333,30442,14271,26016,10364,18000,9166,18357,6456,17964,3139,12720,523,3678,0,1,0,0,0,0
Jun-19,2호선,243,충정로(경기대입구),51,0,4087,1081,7578,7062,17580,18196,25067,66764,17131,32569,13555,16467,14492,13060,14711,13179,16209,15837,16272,14068,16486,14723,19910,15988,24879,18917,54438,23859,19823,17919,13171,12762,12398,13419,9151,13500,4068,9300,649,2975,1,41,0,0,0,0
Jun-19,2호선,244,용답,26,1,2657,284,3392,1286,8685,1711,13149,3878,6490,4104,4608,3233,4340,3026,4481,3195,4590,3599,4296,3481,4473,4664,4776,5879,4846,6505,4340,9667,2896,7873,2202,5100,1663,6149,1262,5441,669,3863,118,1088,0,2,0,0,0,0
Jun-19,2호선,245,신답,3,0,1070,119,1934,633,7050,1140,10157,1989,4066,1171,2533,1241,2407,1458,2425,1513,2283,1864,1918,2070,1865,2750,2116,3377,2172,3983,2474,8557,1455,6858,927,3679,704,3975,576,3086,184,2473,37,582,0,1,0,0,0,0
Jun-19,2호선,246,신설동,31,0,1355,486,1549,1963,3476,5848,6111,14662,4973,11710,5330,9637,7097,9675,8422,8872,9356,9152,10364,8414,11480,7655,11429,6593,13193,6932,18055,6399,7116,4969,4507,3513,3720,3263,2915,3255,1075,2515,125,782,0,137,0,0,0,0
Jun-19,2호선,247,도림천,1,0,410,419,1169,1006,2871,4964,3131,5719,1951,1875,1551,1345,1521,1242,1903,1503,1614,1171,1734,1486,2136,1422,3056,1685,2794,1905,3656,2602,1833,2410,969,1529,871,1505,500,1324,241,979,28,295,0,7,0,0,0,0
Jun-19,2호선,248,양천구청,36,0,5073,997,12303,2561,33274,6215,31080,10396,19496,6704,13976,6228,12349,5950,12841,7290,11293,9022,9645,9450,8516,11584,9788,13919,10840,18088,9715,27677,4977,25838,3542,16292,3171,15209,2921,14949,1133,11964,150,4007,0,37,0,0,0,0
Jun-19,2호선,249,신정네거리,27,1,9410,3492,14529,7276,44576,5587,41812,12842,25546,9213,18494,8187,16199,9053,15708,9824,15104,11822,13007,13337,12298,16513,13908,21130,18017,27284,13779,40869,8983,35178,6700,21636,5449,19836,4847,18926,2214,13137,297,3547,1,259,0,0,0,0
Jun-19,2호선,250,용두(동대문구청),16,0,1171,189,1613,1028,4873,2583,7328,6556,3969,4263,3579,3582,4070,4113,4384,3826,4250,4411,4655,4513,4870,5032,5123,4619,5787,4862,6464,7248,3158,5363,2289,3436,1853,3209,1382,2597,473,1978,64,471,0,9,0,0,0,0
Jun-19,3호선,309,지축,1,0,136,726,1456,3955,4632,2173,5196,2066,3312,1970,2417,1641,2043,1669,2082,1639,1787,1666,1886,1892,2126,2207,3286,2901,4378,2952,2073,4402,1050,3666,670,2701,385,2173,167,1679,100,575,16,87,0,0,0,1,0,0
Jun-19,3호선,310,구파발,110,3,10955,1736,30784,11258,89407,24933,86237,32416,47872,31920,34003,28914,30810,26271,32889,27102,31699,29642,30960,29494,33661,31141,40204,37536,42505,43224,37707,68189,24940,62569,20557,38590,18072,36397,15143,33181,5083,24615,699,8170,0,303,0,1,0,0
Jun-19,3호선,311,연신내,318,17,29920,2470,56215,15221,145327,30107,176568,40964,102203,44409,71144,39549,65003,39678,68966,42769,66719,49586,60137,53385,60517,63513,70938,77265,67053,92954,60553,141497,45143,137586,36224,86876,33072,79233,27830,76166,13812,53283,2356,17672,0,16,0,0,0,0
Jun-19,3호선,312,불광,71,5,10925,1309,21900,7302,58329,12767,69301,35324,40305,36927,30547,29615,28708,27539,28819,30425,31541,35977,30315,34689,31504,36483,34261,40960,35891,46858,38141,66000,23154,58408,18565,36290,16921,33059,12293,30515,5177,20012,874,6010,0,1,0,0,0,0
Jun-19,3호선,313,녹번,33,1,9015,1512,21660,11917,58660,7866,71012,17207,38654,12194,26238,10229,22563,9506,22199,11488,21083,13493,17899,14175,17525,17373,20824,22743,21847,29005,21230,42843,10919,43323,8118,27968,6620,26837,5328,25681,2305,16645,311,4606,0,0,1,0,0,0
Jun-19,3호선,314,홍제,65,2,9803,1591,24301,9215,64377,13051,77480,28481,49820,25080,36256,21543,33531,20437,34373,22379,32729,24648,30014,26730,30810,31495,31922,37868,33254,43478,32329,61209,19257,56631,15361,35151,13132,33870,9916,31777,4200,20633,654,5619,0,1,0,0,0,0
Jun-19,3호선,315,무악재,16,0,2195,269,5377,1914,15660,3250,18431,5572,11085,4078,8747,3969,7307,4014,6554,4121,6195,5070,5507,5728,5073,6646,5318,8264,6181,9990,6987,13972,3516,13220,2623,9336,2315,9099,1654,8819,714,5869,114,1600,0,1,0,0,0,0
Jun-19,3호선,316,독립문,159,0,5771,803,7021,6057,17922,16727,22439,21343,16961,20339,14383,18947,15161,13772,16451,12972,17253,15100,17943,14535,18890,14866,21586,15726,18872,17179,18457,19409,9869,17007,7500,11025,6322,9786,4926,9850,1514,6683,196,3259,2,990,0,0,0,0
Jun-19,3호선,317,경복궁(정부서울청사),108,2,2982,1684,6340,14842,16134,42671,23194,127119,24043,80668,21268,60287,27760,54919,35081,48960,43689,49757,49348,43527,58962,38350,69711,35682,78768,36553,113952,40339,49108,28795,40264,15865,42268,13662,28933,12988,11340,8010,1556,2253,0,48,0,0,0,0
Jun-19,3호선,318,안국,28,0,2195,2622,3819,22387,6888,97892,9984,113267,10976,74114,13306,57709,19650,60059,30221,51907,38127,50506,46938,46867,54967,38671,71559,34567,104999,31498,122828,31550,55927,16043,46033,8956,42228,6762,27028,6863,8382,4026,958,1289,0,0,0,0,0,0
Jun-19,3호선,319,종로3가,25,1,969,854,1504,6022,1935,14492,3300,50260,5074,51158,7519,37529,11217,32558,12759,30932,15277,30556,17553,29186,23245,26673,24400,23506,30007,22881,52770,24540,40836,15036,22555,7530,23539,5490,18449,4468,8242,3139,1026,1117,0,11,0,0,0,0
Jun-19,3호선,320,을지로3가,6,1,699,1076,1371,8801,2433,31390,4549,73988,7673,36884,9901,19517,11610,17098,11694,15559,14660,16546,16799,14566,18290,14596,19384,15287,32312,18184,63309,22083,32722,13875,21730,6960,21094,5218,17649,4014,10534,2650,1647,628,0,1,0,0,0,0
Jun-19,3호선,321,충무로,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,2,0,2,0,4,0,3,0,5,0,4,0,3,0,4,0,1,0,2,0,3,0,2,0,3,0,1,0,0,0,0,0
Jun-19,3호선,322,동대입구,17,4,1892,1283,2740,8308,5779,20702,9188,67078,8286,41873,9410,37445,13408,31922,15545,24378,18927,25262,21049,20810,22314,16178,28325,16169,41770,18562,45221,20219,25620,12314,27935,7294,21804,6432,17962,5498,6679,4045,845,1423,2,113,0,0,0,0
Jun-19,3호선,323,약수,107,5,7096,1152,11671,6386,29183,16465,42580,35641,31412,24603,22172,17995,21282,17123,22914,17522,24668,18880,22613,20001,22143,21365,25160,25528,28479,30853,35657,42947,22216,32582,17463,21824,17622,21109,14310,20329,6533,13242,956,5129,3,745,0,0,0,0
Jun-19,3호선,324,금호,57,3,5075,643,11124,3145,28809,4790,39778,8719,26138,7513,17436,7209,14866,7211,14003,8833,13748,10689,11892,11676,11395,13738,11695,16758,13051,20486,12905,29973,8603,24286,6707,17438,5724,16408,4208,15856,2011,9782,330,2568,0,1,0,0,0,0
